[2026-05-28T17:57:00.993Z] GET http://localhost:3001/ → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/media/5f402bd2d8eef81a-s.p.16whm0euli40m.woff2 → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2 → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/media/9433d1a810498265-s.p.0h26ys03~gfbk.woff2 → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/chunks/%5Broot-of-the-server%5D__0n6f47b._.css → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0dwspdr._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_compiled_next-devtools_index_134~oje.js → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_compiled_react-dom_114i-p.._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_compiled_react-server-dom-turbopack_0ye.m2k._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_compiled_11ejuvp._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_client_0zrnxa5._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_06hu.6j._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/chunks/0eg._%40swc_helpers_cjs_0tjxsr6._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/chunks/bankzdesign_bankzdesign_web_0rqeker._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/chunks/turbopack-bankzdesign_bankzdesign_web_0i--1qd._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.940Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_03t3sf1._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.941Z] GET http://localhost:3001/_next/static/chunks/bankzdesign_bankzdesign_web_src_app_layout_tsx_0msmte6._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.941Z] GET http://localhost:3001/_next/static/chunks/0eg._lucide-react_dist_esm_0fkried._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.941Z] GET http://localhost:3001/_next/static/chunks/bankzdesign_bankzdesign_web_src_app_page_tsx_05l~ffz._.js → pending (?ms, ?B)
[2026-05-28T17:57:05.941Z] GET http://localhost:3001/_next/static/chunks/0eg._next_dist_client_components_builtin_global-error_05l~ffz.js → pending (?ms, ?B)
[2026-05-28T17:59:57.879Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0dwspdr._.js → pending (?ms, ?B)
[2026-05-28T18:00:36.837Z] GET http://localhost:3001/ → 200 (336ms, 57454B)
